Areaname	STCOU	IPE010206F	IPE010206D	IPE010206N1	IPE010206N2	IPE010207F	IPE010207D	IPE010207N1	IPE010207N2	IPE010208F	IPE010208D	IPE010208N1	IPE010208N2	IPE010209F	IPE010209D	IPE010209N1	IPE010209N2	IPE110195F	IPE110195D	IPE110195N1	IPE110195N2	IPE110197F	IPE110197D	IPE110197N1	IPE110197N2	IPE110198F	IPE110198D	IPE110198N1	IPE110198N2	IPE110199F	IPE110199D	IPE110199N1	IPE110199N2	IPE110200F	IPE110200D	IPE110200N1	IPE110200N2	IPE110201F	IPE110201D	IPE110201N1	IPE110201N2
UNITED STATES	00000	0	48451	0000	0000	0	50740	0000	0000	0	52029	0000	0000	0	50221	0000	0000	0	36424609	0000	0000	0	35573858	0000	0000	0	34475762	0000	0000	0	32791272	0000	0000	0	31581086	0000	0000	0	32906511	0000	0000
ALABAMA	01000	0	38811	0000	0000	0	40596	0000	0000	0	42586	0000	0000	0	40547	0000	0000	0	752097	0000	0000	0	700944	0000	0000	0	681788	0000	0000	0	667468	0000	0000	0	637119	0000	0000	0	685071	0000	0000
Autauga, AL	01001	0	46491	0000	0000	0	50375	0000	0000	0	51622	0000	0000	0	53081	0000	0000	0	5471	0000	0000	0	5034	0000	0000	0	4901	0000	0000	0	4991	0000	0000	0	4681	0000	0000	0	4904	0000	0000
Baldwin, AL	01003	0	45493	0000	0000	0	49163	0000	0000	0	51957	0000	0000	0	48637	0000	0000	0	15494	0000	0000	0	14907	0000	0000	0	15089	0000	0000	0	14668	0000	0000	0	13855	0000	0000	0	16313	0000	0000
Barbour, AL	01005	0	28692	0000	0000	0	30370	0000	0000	0	30896	0000	0000	0	28802	0000	0000	0	6423	0000	0000	0	6119	0000	0000	0	5795	0000	0000	0	5903	0000	0000	0	5847	0000	0000	0	6312	0000	0000
Bibb, AL	01007	0	36794	0000	0000	0	38907	0000	0000	0	41076	0000	0000	0	38294	0000	0000	0	3313	0000	0000	0	3306	0000	0000	0	3313	0000	0000	0	3399	0000	0000	0	3561	0000	0000	0	3605	0000	0000
Blount, AL	01009	0	41494	0000	0000	0	43266	0000	0000	0	46086	0000	0000	0	41520	0000	0000	0	6041	0000	0000	0	6203	0000	0000	0	6176	0000	0000	0	6271	0000	0000	0	6193	0000	0000	0	7152	0000	0000
Bullock, AL	01011	0	23095	0000	0000	0	24969	0000	0000	0	26980	0000	0000	0	24206	0000	0000	0	3524	0000	0000	0	3051	0000	0000	0	2909	0000	0000	0	2724	0000	0000	0	2850	0000	0000	0	3218	0000	0000
Butler, AL	01013	0	29158	0000	0000	0	30460	0000	0000	0	31449	0000	0000	0	27794	0000	0000	0	5540	0000	0000	0	5106	0000	0000	0	5068	0000	0000	0	4650	0000	0000	0	4343	0000	0000	0	4440	0000	0000
Calhoun, AL	01015	0	36684	0000	0000	0	37478	0000	0000	0	39997	0000	0000	0	37340	0000	0000	0	20008	0000	0000	0	18593	0000	0000	0	18393	0000	0000	0	18035	0000	0000	0	16561	0000	0000	0	17816	0000	0000
